OBD_Code,Description,Description_Length,Prefix
P0182,Fuel Temperature Sensor A Circuit Low,37,P0
P0183,Fuel Temperature Sensor A Circuit High,38,P0
P0184,Fuel Temperature Sensor A Circuit Intermittent,46,P0
P0185,Fuel Temperature Sensor B Circuit,33,P0
P0186,Fuel Temperature Sensor B Circuit Range/Performance,51,P0
P0187,Fuel Temperature Sensor B Circuit Low,37,P0
P0188,Fuel Temperature Sensor B Circuit High,38,P0
P0189,Fuel Temperature Sensor B Circuit Intermittent,46,P0
P018A,Fuel Pressure Sensor B Circuit,30,P0
P018B,Fuel Pressure Sensor B Circuit Range/Performance,48,P0
P018C,Fuel Pressure Sensor B Circuit Low,34,P0
P018D,Fuel Pressure Sensor B Circuit High,35,P0
P018E,Fuel Pressure Sensor B Circuit Intermittent/Erratic,51,P0
P018F,Fuel System Over Pressure Relief Valve Frequent Activation,58,P0
P0190,Fuel Rail Pressure Sensor Circuit Bank 1,40,P0
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance Bank 1,58,P0
P0192,Fuel Rail Pressure Sensor Circuit Low Bank 1,44,P0
P0193,Fuel Rail Pressure Sensor Circuit High Bank 1,45,P0
P0194,Fuel Rail Pressure Sensor Circuit Intermittent/Erratic Bank 1,61,P0
P0195,Engine Oil Temperature Sensor A Circuit,39,P0
P0196,Engine Oil Temperature Sensor A Range/Performance,49,P0
P0197,Engine Oil Temperature Sensor A Circuit Low,43,P0
P0198,Engine Oil Temperature Sensor A Circuit High,44,P0
P0199,Engine Oil Temperature Sensor A Circuit Intermittent/Erratic,60,P0
P019A,O2 Sensor Delayed Response - Rich to Lean Bank 1 Sensor 3,57,P0
P019B,O2 Sensor Delayed Response - Lean to Rich Bank 1 Sensor 3,57,P0
P019C,O2 Sensor Delayed Response - Rich to Lean Bank 2 Sensor 3,57,P0
P019D,O2 Sensor Delayed Response - Lean to Rich Bank 2 Sensor 3,57,P0
P019E,Alternative Fuel Tank A Pressure Sensor Circuit,47,P0
P019F,Alternative Fuel Tank A Pressure Sensor Performance,51,P0
P01A0,Alternative Fuel Tank A Pressure Sensor Circuit Low,51,P0
P01A1,Alternative Fuel Tank A Pressure Sensor Circuit High,52,P0
P01A2,Alternative Fuel Tank A Pressure Sensor Circuit Intermittent/Erratic,68,P0
P01A3,Alternative Fuel Rail Pressure Sensor Circuit,45,P0
P01A4,Alternative Fuel Rail Pressure Sensor Performance,49,P0
P01A5,Alternative Fuel Rail Pressure Sensor Circuit Low,49,P0
P01A6,Alternative Fuel Rail Pressure Sensor Circuit High,50,P0
P01A7,Alternative Fuel Rail Pressure Sensor Circuit Intermittent/Erratic,66,P0
P01A8,Alternative Fuel Rail/System Pressure - Too Low,47,P0
P01A9,Alternative Fuel Rail/System Pressure - Too High,48,P0
P01AA,Alternative Fuel Tank Temperature Sensor Circuit,48,P0
P01AB,Alternative Fuel Tank Temperature Sensor Range/Performance,58,P0
P01AC,Alternative Fuel Tank Temperature Sensor Circuit Low,52,P0
P01AD,Alternative Fuel Tank Temperature Sensor Circuit High,53,P0
P01AE,Alternative Fuel Tank Temperature Sensor Circuit Intermittent/Erratic,69,P0
P01AF,Alternative Fuel Tank A Level Sensor Circuit,44,P0
P01B0,Alternative Fuel Tank A Level Sensor Range/Performance,54,P0
P01B1,Alternative Fuel Tank A Level Sensor Circuit Low,48,P0
P01B2,Alternative Fuel Tank A Level Sensor Circuit High,49,P0
P01B3,Alternative Fuel Tank A Level Sensor Circuit Intermittent/Erratic,65,P0
P01B4,Alternative Fuel Rail Temperature Sensor Circuit,48,P0
P01B5,Alternative Fuel Rail Temperature Sensor Performance,52,P0
P01B6,Alternative Fuel Rail Temperature Sensor Circuit Low,52,P0
P01B7,Alternative Fuel Rail Temperature Sensor Circuit High,53,P0
P01B8,Alternative Fuel Rail Temperature Sensor Circuit Intermittent/Erratic,69,P0
P01B9,Engine Oil Temperature Sensor B Circuit,39,P0
P01BA,Engine Oil Temperature Sensor B Range/Performance,49,P0
P01BB,Engine Oil Temperature Sensor B Circuit Low,43,P0
P01BC,Engine Oil Temperature Sensor B Circuit High,44,P0
P01BD,Engine Oil Temperature Sensor B Circuit Intermittent/Erratic,60,P0
P01BE,Fuel Rail Pressure Sensor Circuit Bank 2,40,P0
P01BF,Fuel Rail Pressure Sensor Circuit Range/Performance Bank 2,58,P0
P01C0,Fuel Rail Pressure Sensor Circuit Low Bank 2,44,P0
P01C1,Fuel Rail Pressure Sensor Circuit High Bank 2,45,P0
P01C2,Fuel Rail Pressure Sensor Circuit Intermittent/Erratic Bank 2,61,P0
P01C3,Fuel Pressure Sensor A Circuit,30,P0
P01C4,Fuel Pressure Sensor A Circuit Range/Performance,48,P0
P01C5,Fuel Pressure Sensor A Circuit Low,34,P0
P01C6,Fuel Pressure Sensor A Circuit High,35,P0
P01C7,Fuel Pressure Sensor A Circuit Intermittent/Erratic,51,P0
P01C8,Fuel Rail/System Pressure - Too Low Bank 2,42,P0
P01C9,Fuel Rail/System Pressure - Too High Bank 2,43,P0
P01CA,Fuel Rail Pressure Too Low - Engine Cranking Bank 2,51,P0
P01CB,Cylinder 1 Injection Timing Performance - Over Retarded,55,P0
P01CC,Cylinder 1 Injection Timing Performance - Over Advanced,55,P0
P01CD,Cylinder 2 Injection Timing Performance - Over Retarded,55,P0
P01CE,Cylinder 2 Injection Timing Performance - Over Advanced,55,P0
P01CF,Cylinder 3 Injection Timing Performance - Over Retarded,55,P0
P01D0,Cylinder 3 Injection Timing Performance - Over Advanced,55,P0
P01D1,Cylinder 4 Injection Timing Performance - Over Retarded,55,P0
P01D2,Cylinder 4 Injection Timing Performance - Over Advanced,55,P0
P01D3,Cylinder 5 Injection Timing Performance - Over Retarded,55,P0
P01D4,Cylinder 5 Injection Timing Performance - Over Advanced,55,P0
P01D5,Cylinder 6 Injection Timing Performance - Over Retarded,55,P0
P01D6,Cylinder 6 Injection Timing Performance - Over Advanced,55,P0
P01D7,Cylinder 7 Injection Timing Performance - Over Retarded,55,P0
P01D8,Cylinder 7 Injection Timing Performance - Over Advanced,55,P0
P01D9,Cylinder 8 Injection Timing Performance - Over Retarded,55,P0
P01DA,Cylinder 8 Injection Timing Performance - Over Advanced,55,P0
P01DB,Cylinder 9 Injection Timing Performance - Over Retarded,55,P0
P01DC,Cylinder 9 Injection Timing Performance - Over Advanced,55,P0
P01DD,Cylinder 10 Injection Timing Performance - Over Retarded,56,P0
P01DE,Cylinder 10 Injection Timing Performance - Over Advanced,56,P0
P01DF,Cylinder 11 Injection Timing Performance - Over Retarded,56,P0
P01E0,Cylinder 11 Injection Timing Performance - Over Advanced,56,P0
P01E1,Cylinder 12 Injection Timing Performance - Over Retarded,56,P0
P01E2,Cylinder 12 Injection Timing Performance - Over Advanced,56,P0
P01E3,Engine Coolant Temperature Sensor 3 Circuit,43,P0
P01E4,Engine Coolant Temperature Sensor 3 Circuit Range/Performance,61,P0
P01E5,Engine Coolant Temperature Sensor 3 Circuit Low,47,P0
P01E6,Engine Coolant Temperature Sensor 3 Circuit High,48,P0
P01E7,Engine Coolant Temperature Sensor 3 Circuit Intermittent/Erratic,64,P0
P01E8,Engine Coolant Heater A Control Circuit/Open,44,P0
P01E9,Engine Coolant Heater A Control Circuit Low,43,P0
P01EA,Engine Coolant Heater A Control Circuit High,44,P0
P01EB,Engine Coolant Heater A Control Circuit Performance,51,P0
P01EC,Engine Coolant Heater B Control Circuit/Open,44,P0
P01ED,Engine Coolant Heater B Control Circuit Low,43,P0
P01EE,Engine Coolant Heater B Control Circuit High,44,P0
P01EF,Engine Coolant Heater B Control Circuit Performance,51,P0
P01F0,Coolant Temperature Relapsed Below Diagnostic Monitoring Temperature,68,P0
P01F1,O2 Sensor Circuit Bank 1 Sensor 4,33,P0
P01F2,O2 Sensor Circuit Low Voltage Bank 1 Sensor 4,45,P0
P01F3,O2 Sensor Circuit High Voltage Bank 1 Sensor 4,46,P0
P01F4,O2 Sensor Circuit Slow Response Bank 1 Sensor 4,47,P0
P01F5,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 4,54,P0
P01F6,O2 Sensor Signal Biased/Stuck Lean Bank 1 Sensor 4,50,P0
P01F7,O2 Sensor Signal Biased/Stuck Rich Bank 1 Sensor 4,50,P0
P01F8,Engine Coolant Heater A Control Circuit Driver Current/Temperature Too High,75,P0
P01F9,Engine Coolant Heater B Control Circuit Driver Current/Temperature Too High,75,P0
P01FA,Turbocharger Outlet Pressure Sensor B Circuit,45,P0
P01FB,Turbocharger Outlet Pressure Sensor B Range/Performance,55,P0
P01FC,Turbocharger Outlet Pressure Sensor B Circuit Low,49,P0
P01FD,Turbocharger Outlet Pressure Sensor B Circuit High,50,P0
P01FE,Turbocharger Outlet Pressure Sensor B Intermittent/Erratic,58,P0
P01FF,Turbocharger Outlet Pressure Sensor A/B Correlation,51,P0
P0200,Injector Circuit/Open,21,P0
P0201,Cylinder 1 Injector A Circuit,29,P0
P0202,Cylinder 2 Injector A Circuit,29,P0
P0203,Cylinder 3 Injector A Circuit,29,P0
P0204,Cylinder 4 Injector A Circuit,29,P0
P0205,Cylinder 5 Injector A Circuit,29,P0
P0206,Cylinder 6 Injector A Circuit,29,P0
P0207,Cylinder 7 Injector A Circuit,29,P0
P0208,Cylinder 8 Injector A Circuit,29,P0
P0209,Cylinder 9 Injector A Circuit,29,P0
P020A,Cylinder 1 Injection Timing,27,P0
P020B,Cylinder 2 Injection Timing,27,P0
P020C,Cylinder 3 Injection Timing,27,P0
P020D,Cylinder 4 Injection Timing,27,P0
P020E,Cylinder 5 Injection Timing,27,P0
P020F,Cylinder 6 Injection Timing,27,P0
P0210,Cylinder 10 Injector A Circuit,30,P0
P0211,Cylinder 11 Injector A Circuit,30,P0
P0212,Cylinder 12 Injector A Circuit,30,P0
P0213,Cold Start Injector 1,21,P0
P0214,Cold Start Injector 2,21,P0
P0215,Engine Shutoff Solenoid,23,P0
P0216,Injector/Injection Timing Control Circuit,41,P0
P0217,Engine Coolant Over Temperature Condition,41,P0
P0218,Transmission Fluid Temperature Sensor A Over Temperature Condition,66,P0
P0219,Engine Overspeed Condition,26,P0
P021A,Cylinder 7 Injection Timing,27,P0
P021B,Cylinder 8 Injection Timing,27,P0
P021C,Cylinder 9 Injection Timing,27,P0
P021D,Cylinder 10 Injection Timing,28,P0
P021E,Cylinder 11 Injection Timing,28,P0
P021F,Cylinder 12 Injection Timing,28,P0
P0220,Throttle/Pedal Position Sensor/Switch B Circuit,47,P0
P0221,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance,65,P0
P0222,Throttle/Pedal Position Sensor/Switch B Circuit Low,51,P0
P0223,Throttle/Pedal Position Sensor/Switch B Circuit High,52,P0
P0224,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent,60,P0
P0225,Throttle/Pedal Position Sensor/Switch C Circuit,47,P0
P0226,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance,65,P0
P0227,Throttle/Pedal Position Sensor/Switch C Circuit Low,51,P0
P0228,Throttle/Pedal Position Sensor/Switch C Circuit High,52,P0
P0229,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent,60,P0
P022A,Charge Air Cooler Bypass Control A Circuit /Open,48,P0
P022B,Charge Air Cooler Bypass Control A Circuit Low,46,P0
P022C,Charge Air Cooler Bypass Control A Circuit High,47,P0
P022D,Charge Air Cooler Bypass Control B Circuit /Open,48,P0
P022E,Charge Air Cooler Bypass Control B Circuit Low,46,P0
P022F,Charge Air Cooler Bypass Control B Circuit High,47,P0
P0230,Fuel Pump Primary Circuit,25,P0
P0231,Fuel Pump Secondary Circuit Low,31,P0
P0232,Fuel Pump Secondary Circuit High,32,P0
P0233,Fuel Pump Secondary Circuit Intermittent,40,P0
P0234,Turbocharger/Supercharger A Overboost Condition,47,P0
P0235,Turbocharger/Supercharger Boost Sensor A Circuit,48,P0
P0236,Turbocharger/Supercharger Boost Sensor A Circuit Range/Performance,66,P0
P0237,Turbocharger/Supercharger Boost Sensor A Circuit Low,52,P0
P0238,Turbocharger/Supercharger Boost Sensor A Circuit High,53,P0
P0239,Turbocharger/Supercharger Boost Sensor B Circuit,48,P0
P023A,Charge Air Cooler Coolant Pump A Control Circuit/Open,53,P0
P023B,Charge Air Cooler Coolant Pump A Control Circuit Low,52,P0
P023C,Charge Air Cooler Coolant Pump A Control Circuit High,53,P0
P023D,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor A Correlation,81,P0
P023E,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor B Correlation,81,P0
P023F,Fuel Pump Secondary Circuit/Open,32,P0
P0240,Turbocharger/Supercharger Boost Sensor B Circuit Range/Performance,66,P0
P0241,Turbocharger/Supercharger Boost Sensor B Circuit Low,52,P0
P0242,Turbocharger/Supercharger Boost Sensor B Circuit High,53,P0
P0243,Turbocharger/Supercharger Wastegate Actuator A,46,P0
P0244,Turbocharger/Supercharger Wastegate Actuator A Range/Performance,64,P0
P0245,Turbocharger/Supercharger Wastegate Actuator A Low,50,P0
P0246,Turbocharger/Supercharger Wastegate Actuator A High,51,P0
P0247,Turbocharger/Supercharger Wastegate Actuator B,46,P0
P0248,Turbocharger/Supercharger Wastegate Actuator B Range/Performance,64,P0
P0249,Turbocharger/Supercharger Wastegate Actuator B Low,50,P0
P024A,Charge Air Cooler Bypass Control A Range/Performance,52,P0
P024B,Charge Air Cooler Bypass Control A Stuck,40,P0
P024C,Charge Air Cooler Bypass Position Sensor A Circuit,50,P0
P024D,Charge Air Cooler Bypass Position Sensor A Circuit Range/Performance,68,P0
P024E,Charge Air Cooler Bypass Position Sensor A Circuit Low,54,P0
P024F,Charge Air Cooler Bypass Position Sensor A Circuit High,55,P0
P0250,Turbocharger/Supercharger Wastegate Actuator B High,51,P0
P0251,Injection Pump Fuel Metering Control A (Cam/Rotor/Injector),59,P0
P0252,Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector),77,P0
P0253,Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector),63,P0
P0254,Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector),64,P0
P0255,Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector),72,P0
P0256,Injection Pump Fuel Metering Control B (Cam/Rotor/Injector),59,P0
P0257,Injection Pump Fuel Metering Control B Range/Performance (Cam/Rotor/Injector),77,P0
P0258,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector),63,P0
P0259,Injection Pump Fuel Metering Control B High (Cam/Rotor/Injector),64,P0
P025A,Fuel Pump Module A Control Circuit/Open,39,P0
P025B,Fuel Pump Module A Control Circuit Range/Performance,52,P0
P025C,Fuel Pump Module A Control Circuit Low,38,P0
P025D,Fuel Pump Module A Control Circuit High,39,P0
P025E,Turbocharger/Supercharger Boost Sensor A Intermittent/Erratic,61,P0
P025F,Turbocharger/Supercharger Boost Sensor B Intermittent/Erratic,61,P0
P0260,Injection Pump Fuel Metering Control B Intermittent (Cam/Rotor/Injector),72,P0
P0261,Cylinder 1 Injector A Circuit Low,33,P0
P0262,Cylinder 1 Injector A Circuit High,34,P0
P0263,Cylinder 1 Contribution/Balance,31,P0
P0264,Cylinder 2 Injector A Circuit Low,33,P0
P0265,Cylinder 2 Injector A Circuit High,34,P0
P0266,Cylinder 2 Contribution/Balance,31,P0
P0267,Cylinder 3 Injector A Circuit Low,33,P0
P0268,Cylinder 3 Injector A Circuit High,34,P0
P0269,Cylinder 3 Contribution/Balance,31,P0
P026A,Charge Air Cooler Efficiency Below Threshold,44,P0
P026B,Injection Timing Performance,28,P0
P026C,Fuel Injection Quantity A Lower Than Expected,45,P0
P026D,Fuel Injection Quantity A Higher Than Expected,46,P0
P026E,Charge Air Cooler Coolant Pump A Performance,44,P0
P026F,Coolant Thermostat Performance,30,P0
P0270,Cylinder 4 Injector A Circuit Low,33,P0
P0271,Cylinder 4 Injector A Circuit High,34,P0
P0272,Cylinder 4 Contribution/Balance,31,P0
P0273,Cylinder 5 Injector A Circuit Low,33,P0
P0274,Cylinder 5 Injector A Circuit High,34,P0
P0275,Cylinder 5 Contribution/Balance,31,P0
P0276,Cylinder 6 Injector A Circuit Low,33,P0
P0277,Cylinder 6 Injector A Circuit High,34,P0
P0278,Cylinder 6 Contribution/Balance,31,P0
P0279,Cylinder 7 Injector A Circuit Low,33,P0
P027A,Fuel Pump Module B Control Circuit/Open,39,P0
P027B,Fuel Pump Module B Control Circuit Range/Performance,52,P0
P027C,Fuel Pump Module B Control Circuit Low,38,P0
P027D,Fuel Pump Module B Control Circuit High,39,P0
P027E,Cold Start Fuel Injection Quantity A Lower Than Expected,56,P0
P027F,Cold Start Fuel Injection Quantity A Higher Than Expected,57,P0
P0280,Cylinder 7 Injector A Circuit High,34,P0
P0281,Cylinder 7 Contribution/Balance,31,P0
P0282,Cylinder 8 Injector A Circuit Low,33,P0
P0283,Cylinder 8 Injector A Circuit High,34,P0
P0284,Cylinder 8 Contribution/Balance,31,P0
P0285,Cylinder 9 Injector A Circuit Low,33,P0
P0286,Cylinder 9 Injector A Circuit High,34,P0
P0287,Cylinder 9 Contribution/Balance,31,P0
P0288,Cylinder 10 Injector A Circuit Low,34,P0
P0289,Cylinder 10 Injector A Circuit High,35,P0
P028A,Charge Air Cooler Cooling Fan Control Circuit/Open,50,P0
P028B,Charge Air Cooler Cooling Fan Performance/Stuck Off,51,P0
P028C,Charge Air Cooler Cooling Fan Stuck On,38,P0
P028D,Charge Air Cooler Cooling Fan Control Circuit Low,49,P0
P028E,Charge Air Cooler Cooling Fan Control Circuit High,50,P0
P028F,Charge Air Cooler Cooling Fan Control Circuit Driver Performance,64,P0
P0290,Cylinder 10 Contribution/Balance,32,P0
P0291,Cylinder 11 Injector A Circuit Low,34,P0
P0292,Cylinder 11 Injector A Circuit High,35,P0
P0293,Cylinder 11 Contribution/Balance,32,P0
P0294,Cylinder 12 Injector A Circuit Low,34,P0
P0295,Cylinder 12 Injector A Circuit High,35,P0
P0296,Cylinder 12 Contribution/Balance,32,P0
P0297,Vehicle Overspeed Condition,27,P0
P0298,Engine Oil Over Temperature,27,P0
P0299,Turbocharger/Supercharger A Underboost Condition,48,P0
P029A,Cylinder 1 - Fuel Trim at Max Limit,35,P0
P029B,Cylinder 1 - Fuel Trim at Min Limit,35,P0
P029C,Cylinder 1 - Injector Restricted,32,P0
P029D,Cylinder 1 - Injector Leaking,29,P0
P029E,Cylinder 2 - Fuel Trim at Max Limit,35,P0
P029F,Cylinder 2 - Fuel Trim at Min Limit,35,P0
P02A0,Cylinder 2 - Injector Restricted,32,P0
P02A1,Cylinder 2 - Injector Leaking,29,P0
P02A2,Cylinder 3 - Fuel Trim at Max Limit,35,P0
P02A3,Cylinder 3 - Fuel Trim at Min Limit,35,P0
P02A4,Cylinder 3 - Injector Restricted,32,P0
P02A5,Cylinder 3 - Injector Leaking,29,P0
P02A6,Cylinder 4 - Fuel Trim at Max Limit,35,P0
P02A7,Cylinder 4 - Fuel Trim at Min Limit,35,P0
P02A8,Cylinder 4 - Injector Restricted,32,P0
P02A9,Cylinder 4 - Injector Leaking,29,P0
P02AA,Cylinder 5 - Fuel Trim at Max Limit,35,P0
P02AB,Cylinder 5 - Fuel Trim at Min Limit,35,P0
P02AC,Cylinder 5 - Injector Restricted,32,P0
P02AD,Cylinder 5 - Injector Leaking,29,P0
P02AE,Cylinder 6 - Fuel Trim at Max Limit,35,P0
P02AF,Cylinder 6 - Fuel Trim at Min Limit,35,P0
P02B0,Cylinder 6 - Injector Restricted,32,P0
P02B1,Cylinder 6 - Injector Leaking,29,P0
P02B2,Cylinder 7 - Fuel Trim at Max Limit,35,P0
P02B3,Cylinder 7 - Fuel Trim at Min Limit,35,P0
P02B4,Cylinder 7 - Injector Restricted,32,P0
P02B5,Cylinder 7 - Injector Leaking,29,P0
P02B6,Cylinder 8 - Fuel Trim at Max Limit,35,P0
P02B7,Cylinder 8 - Fuel Trim at Min Limit,35,P0
P02B8,Cylinder 8 - Injector Restricted,32,P0
P02B9,Cylinder 8 - Injector Leaking,29,P0
P02BA,Cylinder 9 - Fuel Trim at Max Limit,35,P0
P02BB,Cylinder 9 - Fuel Trim at Min Limit,35,P0
P02BC,Cylinder 9 - Injector Restricted,32,P0
P02BD,Cylinder 9 - Injector Leaking,29,P0
P02BE,Cylinder 10 - Fuel Trim at Max Limit,36,P0
P02BF,Cylinder 10 - Fuel Trim at Min Limit,36,P0
P02C0,Cylinder 10 - Injector Restricted,33,P0
P02C1,Cylinder 10 - Injector Leaking,30,P0
P02C2,Cylinder 11 - Fuel Trim at Max Limit,36,P0
P02C3,Cylinder 11 - Fuel Trim at Min Limit,36,P0
P02C4,Cylinder 11 - Injector Restricted,33,P0
P02C5,Cylinder 11 - Injector Leaking,30,P0
P02C6,Cylinder 12 - Fuel Trim at Max Limit,36,P0
P02C7,Cylinder 12 - Fuel Trim at Min Limit,36,P0
P02C8,Cylinder 12 - Injector Restricted,33,P0
P02C9,Cylinder 12 - Injector Leaking,30,P0
P02CA,Turbocharger/Supercharger B Overboost Condition,47,P0
P02CB,Turbocharger/Supercharger B Underboost Condition,48,P0
P02CC,Cylinder 1 Fuel Injector A Offset Learning At Min Limit,55,P0
P02CD,Cylinder 1 Fuel Injector A Offset Learning At Max Limit,55,P0
P02CE,Cylinder 2 Fuel Injector A Offset Learning At Min Limit,55,P0
P02CF,Cylinder 2 Fuel Injector A Offset Learning At Max Limit,55,P0
P02D0,Cylinder 3 Fuel Injector A Offset Learning At Min Limit,55,P0
P02D1,Cylinder 3 Fuel Injector A Offset Learning At Max Limit,55,P0
P02D2,Cylinder 4 Fuel Injector A Offset Learning At Min Limit,55,P0
P02D3,Cylinder 4 Fuel Injector A Offset Learning At Max Limit,55,P0
P02D4,Cylinder 5 Fuel Injector A Offset Learning At Min Limit,55,P0
P02D5,Cylinder 5 Fuel Injector A Offset Learning At Max Limit,55,P0
P02D6,Cylinder 6 Fuel Injector A Offset Learning At Min Limit,55,P0
P02D7,Cylinder 6 Fuel Injector A Offset Learning At Max Limit,55,P0
P02D8,Cylinder 7 Fuel Injector A Offset Learning At Min Limit,55,P0
P02D9,Cylinder 7 Fuel Injector A Offset Learning At Max Limit,55,P0
